danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique_track
0.337,0.517,7,-13.119,1,0.0344,0.345,0.768,0.222,0.0398,86.024,audio_features,5yq0Wr88ARxysyYEEfVY2E,spotify:track:5yq0Wr88ARxysyYEEfVY2E,https://api.spotify.com/v1/tracks/5yq0Wr88ARxysyYEEfVY2E,https://api.spotify.com/v1/audio-analysis/5yq0Wr88ARxysyYEEfVY2E,279313,4,Daft Punk - C.L.U.
0.697,0.75,5,-8.503,0,0.0721,0.0035,0.922,0.0889,0.937,124.048,audio_features,6vuPZX9fWESg5js2JFTQRJ,spotify:track:6vuPZX9fWESg5js2JFTQRJ,https://api.spotify.com/v1/tracks/6vuPZX9fWESg5js2JFTQRJ,https://api.spotify.com/v1/audio-analysis/6vuPZX9fWESg5js2JFTQRJ,211640,4,Daft Punk - Crescendolls
0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,audio_features,0MyY4WcN7DIfbSmp5yej5z,spotify:track:0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/tracks/0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/audio-analysis/0MyY4WcN7DIfbSmp5yej5z,328680,4,Daft Punk - Da Funk
0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,audio_features,0MyY4WcN7DIfbSmp5yej5z,spotify:track:0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/tracks/0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/audio-analysis/0MyY4WcN7DIfbSmp5yej5z,328680,4,Daft Punk - Da Funk / Dadftendirekt
0.883,0.743,5,-8.418,0,0.162,0.00695,0.796,0.0936,0.336,111.019,audio_features,7fYIXtdOUl8WqXAqQGyIHQ,spotify:track:7fYIXtdOUl8WqXAqQGyIHQ,https://api.spotify.com/v1/tracks/7fYIXtdOUl8WqXAqQGyIHQ,https://api.spotify.com/v1/audio-analysis/7fYIXtdOUl8WqXAqQGyIHQ,164560,4,Daft Punk - Daftendirekt
0.54,0.635,1,-10.071,1,0.0519,0.00166,0.788,0.209,0.126,119.995,audio_features,5X4ojuZG2mZ68EcLyBQ1D3,spotify:track:5X4ojuZG2mZ68EcLyBQ1D3,https://api.spotify.com/v1/tracks/5X4ojuZG2mZ68EcLyBQ1D3,https://api.spotify.com/v1/audio-analysis/5X4ojuZG2mZ68EcLyBQ1D3,104120,4,Daft Punk - Derezzed
0.712,0.725,7,-7.317,0,0.104,0.124,0.834,0.283,0.156,127.985,audio_features,1rn6JIHBuBZiwvA57jeoOB,spotify:track:1rn6JIHBuBZiwvA57jeoOB,https://api.spotify.com/v1/tracks/1rn6JIHBuBZiwvA57jeoOB,https://api.spotify.com/v1/audio-analysis/1rn6JIHBuBZiwvA57jeoOB,303947,4,Daft Punk - Derezzed (Remixed By Avicii)
0.518,0.527,8,-7.684,1,0.0687,0.0569,0.00263,0.107,0.213,96.995,audio_features,4lteJuSjb9Jt9W1W7PIU2U,spotify:track:4lteJuSjb9Jt9W1W7PIU2U,https://api.spotify.com/v1/tracks/4lteJuSjb9Jt9W1W7PIU2U,https://api.spotify.com/v1/audio-analysis/4lteJuSjb9Jt9W1W7PIU2U,262240,4,Daft Punk - Derezzed (Remixed By The Glitch Mob)
0.644,0.664,9,-8.398,1,0.0332,0.048,0.867,0.342,0.53,124.726,audio_features,2VEZx7NWsZ1D0eJ4uv5Fym,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/tracks/2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/audio-analysis/2VEZx7NWsZ1D0eJ4uv5Fym,301373,4,Daft Punk - Digital Love
0.544,0.489,2,-14.516,1,0.0305,0.408,0.892,0.114,0.352,160.013,audio_features,1OAEosQeqo1Q2RKkipkkiP,spotify:track:1OAEosQeqo1Q2RKkipkkiP,https://api.spotify.com/v1/tracks/1OAEosQeqo1Q2RKkipkkiP,https://api.spotify.com/v1/audio-analysis/1OAEosQeqo1Q2RKkipkkiP,251454,4,Daft Punk - Disc Wars
0.344,0.613,7,-6.881,1,0.0369,0.000555,0.232,0.192,0.053,98.305,audio_features,3PsJ6zisndTa3F9eOjBfCc,spotify:track:3PsJ6zisndTa3F9eOjBfCc,https://api.spotify.com/v1/tracks/3PsJ6zisndTa3F9eOjBfCc,https://api.spotify.com/v1/audio-analysis/3PsJ6zisndTa3F9eOjBfCc,417320,4,Daft Punk - Emotion
0.182,0.449,2,-11.344,1,0.0305,0.000594,0.738,0.283,0.0396,195.86,audio_features,09TlxralXOGX35LUutvw7I,spotify:track:09TlxralXOGX35LUutvw7I,https://api.spotify.com/v1/tracks/09TlxralXOGX35LUutvw7I,https://api.spotify.com/v1/audio-analysis/09TlxralXOGX35LUutvw7I,156486,4,Daft Punk - End Of Line
0.874,0.437,1,-10.235,0,0.0708,0.00134,0.0296,0.0293,0.962,117.791,audio_features,7v9Q0dAb9t7h8gJOkcJHay,spotify:track:7v9Q0dAb9t7h8gJOkcJHay,https://api.spotify.com/v1/tracks/7v9Q0dAb9t7h8gJOkcJHay,https://api.spotify.com/v1/audio-analysis/7v9Q0dAb9t7h8gJOkcJHay,240173,4,Daft Punk - Face To Face
0.525,0.599,6,-12.666,1,0.0581,0.261,0.021,0.717,0.188,125.976,audio_features,5XzGyYZemDuCG3OdbhVFvh,spotify:track:5XzGyYZemDuCG3OdbhVFvh,https://api.spotify.com/v1/tracks/5XzGyYZemDuCG3OdbhVFvh,https://api.spotify.com/v1/audio-analysis/5XzGyYZemDuCG3OdbhVFvh,295227,4,Daft Punk - Face To Face / Short Circuit
0.361,0.588,11,-10.154,0,0.0284,4.61e-05,0.967,0.153,0.274,89.99,audio_features,5pPKx6IhpBIqdMGAC0RYn9,spotify:track:5pPKx6IhpBIqdMGAC0RYn9,https://api.spotify.com/v1/tracks/5pPKx6IhpBIqdMGAC0RYn9,https://api.spotify.com/v1/audio-analysis/5pPKx6IhpBIqdMGAC0RYn9,82605,4,Daft Punk - Fall
0.373,0.841,4,-6.475,0,0.0614,0.00141,0.642,0.342,0.164,89.926,audio_features,66uVqkmHAc0MBUzoPhIypN,spotify:track:66uVqkmHAc0MBUzoPhIypN,https://api.spotify.com/v1/tracks/66uVqkmHAc0MBUzoPhIypN,https://api.spotify.com/v1/audio-analysis/66uVqkmHAc0MBUzoPhIypN,234987,4,Daft Punk - Fall (Remixed By M83 Vs Big Black Delta)
0.0782,0.11,5,-15.15,1,0.0466,0.931,0.919,0.103,0.0295,71.202,audio_features,2URbRukS6KLiQOGAhGP40J,spotify:track:2URbRukS6KLiQOGAhGP40J,https://api.spotify.com/v1/tracks/2URbRukS6KLiQOGAhGP40J,https://api.spotify.com/v1/audio-analysis/2URbRukS6KLiQOGAhGP40J,262780,3,Daft Punk - Finale
0.448,0.271,1,-14.263,1,0.0335,0.95,0.667,0.13,0.0527,107.988,audio_features,3szggCvjcOLWroR6DM9cJn,spotify:track:3szggCvjcOLWroR6DM9cJn,https://api.spotify.com/v1/tracks/3szggCvjcOLWroR6DM9cJn,https://api.spotify.com/v1/audio-analysis/3szggCvjcOLWroR6DM9cJn,202151,4,Daft Punk - Flynn Lives
0.503,0.952,1,-9.308,1,0.572,0.268,0.272,0.875,0.174,126.345,audio_features,78H72MElkOY9cRnaudxZFY,spotify:track:78H72MElkOY9cRnaudxZFY,https://api.spotify.com/v1/tracks/78H72MElkOY9cRnaudxZFY,https://api.spotify.com/v1/audio-analysis/78H72MElkOY9cRnaudxZFY,244400,4,Daft Punk - Fresh
0.724,0.783,7,-8.958,1,0.176,0.00021,0.49,0.295,0.3,111.833,audio_features,0cjavaamK4gxP9iZYw5I2X,spotify:track:0cjavaamK4gxP9iZYw5I2X,https://api.spotify.com/v1/tracks/0cjavaamK4gxP9iZYw5I2X,https://api.spotify.com/v1/audio-analysis/0cjavaamK4gxP9iZYw5I2X,51400,4,Daft Punk - Funk Ad
0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,audio_features,5W3cjX2J3tjhG8zb6u0qHn,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,224693,4,Daft Punk - Harder Better Faster Stronger
0.799,0.66,11,-8.829,0,0.175,0.000996,0.446,0.313,0.391,125.909,audio_features,63ZAmhkAV6Kaw955ohbEsN,spotify:track:63ZAmhkAV6Kaw955ohbEsN,https://api.spotify.com/v1/tracks/63ZAmhkAV6Kaw955ohbEsN,https://api.spotify.com/v1/audio-analysis/63ZAmhkAV6Kaw955ohbEsN,362467,4,Daft Punk - High Fidelity
0.653,0.869,8,-9.393,1,0.217,0.00435,0.413,0.334,0.515,125.207,audio_features,098ttCNmncrO4YvqWUNMvn,spotify:track:098ttCNmncrO4YvqWUNMvn,https://api.spotify.com/v1/tracks/098ttCNmncrO4YvqWUNMvn,https://api.spotify.com/v1/audio-analysis/098ttCNmncrO4YvqWUNMvn,201800,4,Daft Punk - High Life
0.608,0.725,0,-4.367,1,0.342,0.00139,0.0546,0.0802,0.802,136.251,audio_features,3aByRUC2BVL6Fs1zI723sd,spotify:track:3aByRUC2BVL6Fs1zI723sd,https://api.spotify.com/v1/tracks/3aByRUC2BVL6Fs1zI723sd,https://api.spotify.com/v1/audio-analysis/3aByRUC2BVL6Fs1zI723sd,319880,4,Daft Punk - Human After All
0.471,0.848,11,-11.331,0,0.0595,8.19e-05,0.284,0.952,0.117,131.045,audio_features,5q2KGgJV5l4MAnnGIrvKSK,spotify:track:5q2KGgJV5l4MAnnGIrvKSK,https://api.spotify.com/v1/tracks/5q2KGgJV5l4MAnnGIrvKSK,https://api.spotify.com/v1/audio-analysis/5q2KGgJV5l4MAnnGIrvKSK,598667,4,Daft Punk - Stardust - Human After All/Together/One More Time/Music Sounds Better With You
0.886,0.847,11,-8.296,1,0.1,0.0888,0.937,0.087,0.443,126.163,audio_features,4jF8GAMRCOenL17cNnBDI0,spotify:track:4jF8GAMRCOenL17cNnBDI0,https://api.spotify.com/v1/tracks/4jF8GAMRCOenL17cNnBDI0,https://api.spotify.com/v1/audio-analysis/4jF8GAMRCOenL17cNnBDI0,274733,4,Daft Punk - Indo Silver Club
0.697,0.548,1,-9.087,1,0.0561,0.783,0.841,0.132,0.977,133.005,audio_features,1WnXCfO6oIxG0TbJj29MqR,spotify:track:1WnXCfO6oIxG0TbJj29MqR,https://api.spotify.com/v1/tracks/1WnXCfO6oIxG0TbJj29MqR,https://api.spotify.com/v1/audio-analysis/1WnXCfO6oIxG0TbJj29MqR,289680,4,Daft Punk - Make Love
0.491,0.186,0,-29.512,1,0.0321,0.845,0.916,0.109,0.457,119.883,audio_features,63JXZZRbmzooashakb0zbu,spotify:track:63JXZZRbmzooashakb0zbu,https://api.spotify.com/v1/tracks/63JXZZRbmzooashakb0zbu,https://api.spotify.com/v1/audio-analysis/63JXZZRbmzooashakb0zbu,104467,4,Daft Punk - Nightvision
0.182,0.033,9,-27.558,0,0.0369,0.391,0.706,0.11,0.0348,68.469,audio_features,7toH0mW6Noyt5B0nczGqj5,spotify:track:7toH0mW6Noyt5B0nczGqj5,https://api.spotify.com/v1/tracks/7toH0mW6Noyt5B0nczGqj5,https://api.spotify.com/v1/audio-analysis/7toH0mW6Noyt5B0nczGqj5,101689,5,Daft Punk - Nocturne
0.602,0.309,8,-8.396,1,0.352,0.0706,0.294,0.0895,0.559,176.704,audio_features,3Pm4jgrXCu0W7gTqyrlR4F,spotify:track:3Pm4jgrXCu0W7gTqyrlR4F,https://api.spotify.com/v1/tracks/3Pm4jgrXCu0W7gTqyrlR4F,https://api.spotify.com/v1/audio-analysis/3Pm4jgrXCu0W7gTqyrlR4F,121200,5,Daft Punk - Oh Yeah
0.597,0.54,8,-15.07,1,0.425,0.974,1.26e-05,0.953,0.93,67.443,audio_features,0cV1dl2k19YoGbxTKDb0rH,spotify:track:0cV1dl2k19YoGbxTKDb0rH,https://api.spotify.com/v1/tracks/0cV1dl2k19YoGbxTKDb0rH,https://api.spotify.com/v1/audio-analysis/0cV1dl2k19YoGbxTKDb0rH,19200,1,Daft Punk - On/Off
0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,audio_features,0DiWol3AO6WpXZgp0goxAV,spotify:track:0DiWol3AO6WpXZgp0goxAV,https://api.spotify.com/v1/tracks/0DiWol3AO6WpXZgp0goxAV,https://api.spotify.com/v1/audio-analysis/0DiWol3AO6WpXZgp0goxAV,320357,4,Daft Punk - One More Time
0.45,0.846,11,-9.996,0,0.102,0.038,0.266,0.222,0.414,124.239,audio_features,1H1d4dr7Hk5Rrd8Tb5y5yr,spotify:track:1H1d4dr7Hk5Rrd8Tb5y5yr,https://api.spotify.com/v1/tracks/1H1d4dr7Hk5Rrd8Tb5y5yr,https://api.spotify.com/v1/audio-analysis/1H1d4dr7Hk5Rrd8Tb5y5yr,370533,4,Daft Punk - One More Time / Aerodynamic
0.573,0.455,0,-16.105,1,0.0367,0.786,0.626,0.193,0.151,113.185,audio_features,1lQZ7fJRndezv3hnEtadcI,spotify:track:1lQZ7fJRndezv3hnEtadcI,https://api.spotify.com/v1/tracks/1lQZ7fJRndezv3hnEtadcI,https://api.spotify.com/v1/audio-analysis/1lQZ7fJRndezv3hnEtadcI,162502,4,Daft Punk - Outlands
0.163,0.055,1,-14.79,1,0.04,0.856,0.954,0.128,0.0364,71.682,audio_features,4uXQXq2AH6mAB8gvTzNUab,spotify:track:4uXQXq2AH6mAB8gvTzNUab,https://api.spotify.com/v1/tracks/4uXQXq2AH6mAB8gvTzNUab,https://api.spotify.com/v1/audio-analysis/4uXQXq2AH6mAB8gvTzNUab,148006,3,Daft Punk - Overture
0.804,0.719,7,-8.207,1,0.0835,1.91e-05,0.926,0.0847,0.569,126.874,audio_features,6nQy5XEEEJKu8FE1FS2Wbt,spotify:track:6nQy5XEEEJKu8FE1FS2Wbt,https://api.spotify.com/v1/tracks/6nQy5XEEEJKu8FE1FS2Wbt,https://api.spotify.com/v1/audio-analysis/6nQy5XEEEJKu8FE1FS2Wbt,297107,4,Daft Punk - Phoenix
0.531,0.846,11,-9.652,0,0.052,5.55e-05,0.816,0.881,0.055,130.032,audio_features,3qVD67mL0JxgU0VQVKR52G,spotify:track:3qVD67mL0JxgU0VQVKR52G,https://api.spotify.com/v1/tracks/3qVD67mL0JxgU0VQVKR52G,https://api.spotify.com/v1/audio-analysis/3qVD67mL0JxgU0VQVKR52G,622480,4,Daft Punk - Prime Time Of Your Life / Brainwasher /Rollin 'and Scratchin' / Alive
0.579,0.534,1,-14.585,1,0.0391,0.484,0.547,0.108,0.0768,104.011,audio_features,6dooKqgWKBVwQLLarxJPDM,spotify:track:6dooKqgWKBVwQLLarxJPDM,https://api.spotify.com/v1/tracks/6dooKqgWKBVwQLLarxJPDM,https://api.spotify.com/v1/audio-analysis/6dooKqgWKBVwQLLarxJPDM,157719,4,Daft Punk - Recognizer
0.449,0.198,2,-14.778,1,0.0343,0.49,0.917,0.106,0.0399,131.866,audio_features,6lEEO57pUsxL33F3tSNWV3,spotify:track:6lEEO57pUsxL33F3tSNWV3,https://api.spotify.com/v1/tracks/6lEEO57pUsxL33F3tSNWV3,https://api.spotify.com/v1/audio-analysis/6lEEO57pUsxL33F3tSNWV3,134047,4,Daft Punk - Rectifier
0.745,0.716,11,-7.918,1,0.136,0.0265,0.846,0.246,0.828,126.527,audio_features,5pgZpHqfv4TSomtkfGZGrG,spotify:track:5pgZpHqfv4TSomtkfGZGrG,https://api.spotify.com/v1/tracks/5pgZpHqfv4TSomtkfGZGrG,https://api.spotify.com/v1/audio-analysis/5pgZpHqfv4TSomtkfGZGrG,335027,4,Daft Punk - Revolution 909
0.498,0.62,9,-14.651,1,0.0477,0.483,0.813,0.0947,0.0348,90.046,audio_features,70RkgofUfQHLl2FT2Mx5zq,spotify:track:70RkgofUfQHLl2FT2Mx5zq,https://api.spotify.com/v1/tracks/70RkgofUfQHLl2FT2Mx5zq,https://api.spotify.com/v1/audio-analysis/70RkgofUfQHLl2FT2Mx5zq,137636,4,Daft Punk - Rinzler
0.59,0.787,7,-5.766,1,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,audio_features,4zu9wo2FXoBSsKjO6tRB3R,spotify:track:4zu9wo2FXoBSsKjO6tRB3R,https://api.spotify.com/v1/tracks/4zu9wo2FXoBSsKjO6tRB3R,https://api.spotify.com/v1/audio-analysis/4zu9wo2FXoBSsKjO6tRB3R,287720,4,Daft Punk - Robot Rock
0.479,0.678,2,-12.17,1,0.0758,0.00018,0.661,0.421,0.227,116.033,audio_features,5eS6pTvDNOvh2kyxeZtK3r,spotify:track:5eS6pTvDNOvh2kyxeZtK3r,https://api.spotify.com/v1/tracks/5eS6pTvDNOvh2kyxeZtK3r,https://api.spotify.com/v1/audio-analysis/5eS6pTvDNOvh2kyxeZtK3r,387507,4,Daft Punk - Robot Rock / Oh Yeah
0.955,0.899,1,-7.599,1,0.273,0.0171,0.64,0.0642,0.331,134.941,audio_features,1nluqUxDKnwWyScYVeQHXa,spotify:track:1nluqUxDKnwWyScYVeQHXa,https://api.spotify.com/v1/tracks/1nluqUxDKnwWyScYVeQHXa,https://api.spotify.com/v1/audio-analysis/1nluqUxDKnwWyScYVeQHXa,453867,4,Daft Punk - Rock'n Roll
0.822,0.791,1,-4.87,1,0.0414,0.00108,0.621,0.0567,0.21,130.059,audio_features,6hgBJPTHoDJyxydmtFWHKf,spotify:track:6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/tracks/6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/audio-analysis/6hgBJPTHoDJyxydmtFWHKf,448627,4,Daft Punk - Rollin' & Scratchin'
0.535,0.558,6,-10.756,1,0.0741,0.00461,0.824,0.0821,0.215,109.69,audio_features,4npMbTuxrUA3Wd7edACZ2L,spotify:track:4npMbTuxrUA3Wd7edACZ2L,https://api.spotify.com/v1/tracks/4npMbTuxrUA3Wd7edACZ2L,https://api.spotify.com/v1/audio-analysis/4npMbTuxrUA3Wd7edACZ2L,206867,4,Daft Punk - Short Circuit
0.179,0.167,1,-23.408,1,0.0394,0.852,0.748,0.106,0.0399,124.266,audio_features,0Jc2SfIHv63JNsUZpunh54,spotify:track:0Jc2SfIHv63JNsUZpunh54,https://api.spotify.com/v1/tracks/0Jc2SfIHv63JNsUZpunh54,https://api.spotify.com/v1/audio-analysis/0Jc2SfIHv63JNsUZpunh54,162120,3,Daft Punk - Solar Sailer
0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,audio_features,1NeLwFETswx8Fzxl2AFl91,spotify:track:1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/tracks/1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/audio-analysis/1NeLwFETswx8Fzxl2AFl91,232667,4,Daft Punk - Something About Us
0.518,0.745,11,-6.787,0,0.212,5.07e-05,0.802,0.229,0.549,92.07,audio_features,07KtTNn0wZndtN5NOYdBWR,spotify:track:07KtTNn0wZndtN5NOYdBWR,https://api.spotify.com/v1/tracks/07KtTNn0wZndtN5NOYdBWR,https://api.spotify.com/v1/audio-analysis/07KtTNn0wZndtN5NOYdBWR,321187,4,Daft Punk - Steam Machine
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4,Daft Punk - Superhereos
0.487,0.723,7,-11.148,1,0.143,4.48e-05,0.383,0.819,0.391,138.007,audio_features,029O4HWI1pVXLfFdfQd1Jb,spotify:track:029O4HWI1pVXLfFdfQd1Jb,https://api.spotify.com/v1/tracks/029O4HWI1pVXLfFdfQd1Jb,https://api.spotify.com/v1/audio-analysis/029O4HWI1pVXLfFdfQd1Jb,341107,4,Daft Punk - Superheroes / Human After All / Rock'n Roll
0.98,0.486,6,-7.31,1,0.251,0.03,0.823,0.0995,0.823,123.206,audio_features,4ZdjCuiWBv2weLftWPJ72c,spotify:track:4ZdjCuiWBv2weLftWPJ72c,https://api.spotify.com/v1/tracks/4ZdjCuiWBv2weLftWPJ72c,https://api.spotify.com/v1/audio-analysis/4ZdjCuiWBv2weLftWPJ72c,173493,4,Daft Punk - Teachers
0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,audio_features,0LSLM0zuWRkEYemF7JcfEE,spotify:track:0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/tracks/0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/audio-analysis/0LSLM0zuWRkEYemF7JcfEE,284280,4,Daft Punk - Technologic
0.58,0.786,6,-9.979,1,0.0675,6.53e-05,0.207,0.461,0.558,126.004,audio_features,1E8S3CSv20KrKT0C1yAjkO,spotify:track:1E8S3CSv20KrKT0C1yAjkO,https://api.spotify.com/v1/tracks/1E8S3CSv20KrKT0C1yAjkO,https://api.spotify.com/v1/audio-analysis/1E8S3CSv20KrKT0C1yAjkO,290840,4,Daft Punk - Television Rules The Nation
0.58,0.786,6,-9.979,1,0.0675,6.53e-05,0.207,0.461,0.558,126.004,audio_features,1E8S3CSv20KrKT0C1yAjkO,spotify:track:1E8S3CSv20KrKT0C1yAjkO,https://api.spotify.com/v1/tracks/1E8S3CSv20KrKT0C1yAjkO,https://api.spotify.com/v1/audio-analysis/1E8S3CSv20KrKT0C1yAjkO,290840,4,Daft Punk - Television Rules The Nation / Crescendolls
0.531,0.894,6,-5.435,0,0.0466,1.36e-05,0.837,0.0742,0.0382,119.708,audio_features,61qwHnU8dyMqPemGzopDcp,spotify:track:61qwHnU8dyMqPemGzopDcp,https://api.spotify.com/v1/tracks/61qwHnU8dyMqPemGzopDcp,https://api.spotify.com/v1/audio-analysis/61qwHnU8dyMqPemGzopDcp,248400,4,Daft Punk - The Brainwasher
0.542,0.504,2,-14.779,1,0.0416,0.442,0.733,0.0826,0.0625,99.956,audio_features,1LaCW0R8Q7oIY3tKtDgZOw,spotify:track:1LaCW0R8Q7oIY3tKtDgZOw,https://api.spotify.com/v1/tracks/1LaCW0R8Q7oIY3tKtDgZOw,https://api.spotify.com/v1/audio-analysis/1LaCW0R8Q7oIY3tKtDgZOw,205475,4,Daft Punk - The Game Has Changed
0.556,0.53,1,-13.527,1,0.0387,0.307,0.22,0.333,0.0645,102.018,audio_features,2tRWMCijEFsGPDxBgHxHre,spotify:track:2tRWMCijEFsGPDxBgHxHre,https://api.spotify.com/v1/tracks/2tRWMCijEFsGPDxBgHxHre,https://api.spotify.com/v1/audio-analysis/2tRWMCijEFsGPDxBgHxHre,96740,4,Daft Punk - The Grid
0.503,0.507,9,-7.243,1,0.181,4.51e-05,0.514,0.288,0.0987,128.606,audio_features,2ABpuao3ZbTjP2cSiX9KZc,spotify:track:2ABpuao3ZbTjP2cSiX9KZc,https://api.spotify.com/v1/tracks/2ABpuao3ZbTjP2cSiX9KZc,https://api.spotify.com/v1/audio-analysis/2ABpuao3ZbTjP2cSiX9KZc,263240,4,Daft Punk - The Prime Time Of Your Life
